name,code,link,source,color_hex,color_r,color_g,color_b
Heartfelt,04C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-1|,clarkkensington,#efe0e6,239,224,230
Cala Lily Corsage,04C-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-2|,clarkkensington,#e7c5ce,231,197,206
King of Hearts,04C-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-3|,clarkkensington,#daa7b4,218,167,180
Blushing Rose,04C-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-4|,clarkkensington,#d59aaa,213,154,170
Cross My Heart,04C-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-5|,clarkkensington,#b77183,183,113,131
Bougainvillea,04C-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-6|,clarkkensington,#a4485f,164,72,95
Ruby Port,04C-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04C-7|,clarkkensington,#8b3441,139,52,65
Innocent and Sweet,04D-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04D-2|,clarkkensington,#f4dbe1,244,219,225
Cheeky Pink,04D-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04D-3|,clarkkensington,#f2c7d2,242,199,210
Pink Arabesque,04D-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:04D-4|,clarkkensington,#df8898,223,136,152
