name,code,link,source,color_hex,color_r,color_g,color_b
thimbleberry leaf,PPG11-31,https://www.glidden.com/color/color-families/greens/thimbleberry-leaf,glidden,#afa97d,175,169,125
lively ivy,PPG11-30,https://www.glidden.com/color/color-families/greens/lively-ivy,glidden,#b3ae87,179,174,135
karma,PPG1026-4,https://www.glidden.com/color/color-families/greens/karma,glidden,#b2a484,178,164,132
edamame,PPG1030-4,https://www.glidden.com/color/color-families/greens/edamame,glidden,#9ca389,156,163,137
gray heron,PPG1033-5,https://www.glidden.com/color/color-families/neutrals/gray-heron,glidden,#89928a,137,146,138
mesmerize,PPG1030-5,https://www.glidden.com/color/color-families/greens/mesmerize,glidden,#8e9074,142,144,116
gristmill,PPG1026-5,https://www.glidden.com/color/color-families/greens/gristmill,glidden,#a29371,162,147,113
mossy gold,PPG11-17,https://www.glidden.com/color/color-families/greens/mossy-gold,glidden,#9c9273,156,146,115
tapenade,PPG11-32,https://www.glidden.com/color/color-families/greens/tapenade,glidden,#9c9369,156,147,105
sweet annie,PPG1113-5,https://www.glidden.com/color/color-families/greens/sweet-annie,glidden,#9c946e,156,148,110
hemlock,PPG1125-5,https://www.glidden.com/color/color-families/greens/hemlock,glidden,#909373,144,147,115
cavern moss,PPG1124-5,https://www.glidden.com/color/color-families/greens/cavern-moss,glidden,#92987d,146,152,125
restoration,PPG1031-4,https://www.glidden.com/color/color-families/neutrals/restoration,glidden,#939581,147,149,129
sylvan,PPG1032-4,https://www.glidden.com/color/color-families/neutrals/sylvan,glidden,#979381,151,147,129
green tea leaf,PPG1128-5,https://www.glidden.com/color/color-families/greens/green-tea-leaf,glidden,#939a89,147,154,137
paradise found,PPG1135-5,https://www.glidden.com/color/color-families/greens/paradise-found,glidden,#83988c,131,152,140
birch forest,PPG1134-5,https://www.glidden.com/color/color-families/greens/birch-forest,glidden,#899a8b,137,154,139
pine ridge,PPG1138-5,https://www.glidden.com/color/color-families/greens/pine-ridge,glidden,#6d9185,109,145,133
silver laurel,PPG1137-5,https://www.glidden.com/color/color-families/greens/silver-laurel,glidden,#829f96,130,159,150
farm fresh,PPG1129-5,https://www.glidden.com/color/color-families/greens/farm-fresh,glidden,#8e9b88,142,155,136
zebra grass,PPG1126-5,https://www.glidden.com/color/color-families/greens/zebra-grass,glidden,#9da286,157,162,134
envy,PPG1123-5,https://www.glidden.com/color/color-families/greens/envy,glidden,#a4a582,164,165,130
pine trail,PPG1115-5,https://www.glidden.com/color/color-families/greens/pine-trail,glidden,#9c9f75,156,159,117
pea soup,PPG1114-5,https://www.glidden.com/color/color-families/greens/pea-soup,glidden,#a49d70,164,157,112
woolen vest,PPG1112-5,https://www.glidden.com/color/color-families/greens/woolen-vest,glidden,#b0a582,176,165,130
foggy beach,PPG11-18,https://www.glidden.com/color/color-families/greens/foggy-beach,glidden,#b0a584,176,165,132
gracious glow,PPG1116-5,https://www.glidden.com/color/color-families/greens/gracious-glow,glidden,#bab078,186,176,120
secret scribbles,PPG11-12,https://www.glidden.com/color/color-families/greens/secret-scribbles,glidden,#b7ad6e,183,173,110
always apple,PPG1118-5,https://www.glidden.com/color/color-families/greens/always-apple,glidden,#a0a667,160,166,103
dill,PPG1122-5,https://www.glidden.com/color/color-families/greens/dill,glidden,#9da073,157,160,115
guacamole,PPG1121-5,https://www.glidden.com/color/color-families/greens/guacamole,glidden,#9aa77c,154,167,124
pear cactus,PPG1130-5,https://www.glidden.com/color/color-families/greens/pear-cactus,glidden,#91af88,145,175,136
slate green,PPG1133-5,https://www.glidden.com/color/color-families/greens/slate-green,glidden,#7a9682,122,150,130
sheffield,PPG1139-5,https://www.glidden.com/color/color-families/greens/sheffield,glidden,#638f7b,99,143,123
derby green,PPG1140-5,https://www.glidden.com/color/color-families/greens/derby-green,glidden,#599c89,89,156,137
plumosa,PPG1132-5,https://www.glidden.com/color/color-families/greens/plumosa,glidden,#64a281,100,162,129
chatty cricket,PPG1131-5,https://www.glidden.com/color/color-families/greens/chatty-cricket,glidden,#89b386,137,179,134
harmonious,PPG1120-5,https://www.glidden.com/color/color-families/greens/harmonious,glidden,#afc195,175,193,149
sparrow song,PPG11-13,https://www.glidden.com/color/color-families/greens/sparrow-song,glidden,#acb17e,172,177,126
fancy flirt,PPG1119-5,https://www.glidden.com/color/color-families/greens/fancy-flirt,glidden,#b4b780,180,183,128
beach bag,PPG1117-5,https://www.glidden.com/color/color-families/greens/beach-bag,glidden,#adb864,173,184,100
split pea soup,PPG1109-5,https://www.glidden.com/color/color-families/greens/split-pea-soup,glidden,#c8b165,200,177,101
golden yarrow,PPG1215-5,https://www.glidden.com/color/color-families/greens/golden-yarrow,glidden,#e2c74f,226,199,79
parachute,PPG1218-5,https://www.glidden.com/color/color-families/greens/parachute,glidden,#beb755,190,183,85
boogie blast,PPG1219-5,https://www.glidden.com/color/color-families/greens/boogie-blast,glidden,#bece61,190,206,97
fern glow,PPG17-27,https://www.glidden.com/color/color-families/greens/fern-glow,glidden,#b6c876,182,200,118
lime green,PPG1222-5,https://www.glidden.com/color/color-families/greens/lime-green,glidden,#aec571,174,197,113
hearty hosta,PPG1223-5,https://www.glidden.com/color/color-families/greens/hearty-hosta,glidden,#96bf83,150,191,131
garden mint,PPG1226-5,https://www.glidden.com/color/color-families/greens/garden-mint,glidden,#68b082,104,176,130
laurel wreath,PPG1228-5,https://www.glidden.com/color/color-families/greens/laurel-wreath,glidden,#52a786,82,167,134
jewel weed,PPG1230-5,https://www.glidden.com/color/color-families/greens/jewel-weed,glidden,#46a795,70,167,149
aloha,PPG1229-5,https://www.glidden.com/color/color-families/greens/aloha,glidden,#1db394,29,179,148
aragon green,PPG1227-5,https://www.glidden.com/color/color-families/greens/aragon-green,glidden,#47ba87,71,186,135
may apple,PPG1225-5,https://www.glidden.com/color/color-families/greens/may-apple,glidden,#92d599,146,213,153
almost aloe,PPG1224-5,https://www.glidden.com/color/color-families/greens/almost-aloe,glidden,#bfe5b1,191,229,177
