name,code,link,source,color_hex,color_r,color_g,color_b
Vintage Frame,V142-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/vintage-frame-v142-6,valspar,#4c4b46,76,75,70
Nevermore,8004-48G,https://www.valspar.com/en/colors/browse-colors/lowes/black/nevermore-8004-48g,valspar,#383238,56,50,56
Magpie,V119-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/black/magpie-v119-3,valspar,#3f3e39,63,62,57
Mystic Sea,5007-7A,https://www.valspar.com/en/colors/browse-colors/lowes/teal/mystic-sea-5007-7a,valspar,#bde2dc,189,226,220
Setting Sail,V028-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/teal/setting-sail-v028-2,valspar,#50c7c1,80,199,193
Bayside,5006-10A,https://www.valspar.com/en/colors/browse-colors/lowes/teal/bayside-5006-10a,valspar,#4bc3bc,75,195,188
Touch of Frost,V065-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/teal/touch-of-frost-v065-1,valspar,#cce8e2,204,232,226
In the Nick,8001-44F,https://www.valspar.com/en/colors/browse-colors/lowes/blue/in-the-nick-8001-44f,valspar,#28679e,40,103,158
Back of Beyond,V070-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/back-of-beyond-v070-6,valspar,#014b6b,1,75,107
Cosmic Blue,4008-10C,https://www.valspar.com/en/colors/browse-colors/lowes/blue/cosmic-blue-4008-10c,valspar,#0178b6,1,120,182
Blue on Blue,V034-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/blue-on-blue-v034-3,valspar,#016ca0,1,108,160
Blue China,5001-8B,https://www.valspar.com/en/colors/browse-colors/lowes/blue/blue-china-5001-8b,valspar,#3481a1,52,129,161
Indigo Go-Go,V108-6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/indigo-go-go-v108-6,valspar,#203e4f,32,62,79
Deep Twilight Blue,4007-6C,https://www.valspar.com/en/colors/browse-colors/lowes/blue/deep-twilight-blue-4007-6c,valspar,#34576a,52,87,106
Play Me a Melody,V106-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/play-me-a-melody-v106-5,valspar,#597986,89,121,134
Shhh…,V105-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/shhh-v105-2,valspar,#bed1d6,190,209,214
Mint Whisper,5008-7A,https://www.valspar.com/en/colors/browse-colors/lowes/teal/mint-whisper-5008-7a,valspar,#d0e8e0,208,232,224
Indigo Streamer,4010-4,https://www.valspar.com/en/colors/browse-colors/lowes/blue/indigo-streamer-4010-4,valspar,#22394a,34,57,74
Carousel Purple,V074-2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/carousel-purple-v074-2,valspar,#bfcde2,191,205,226
Soul Blue,8002-43D,https://www.valspar.com/en/colors/browse-colors/lowes/blue/soul-blue-8002-43d,valspar,#73a9c2,115,169,194
Tribute,V071-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/tribute-v071-3,valspar,#74b5da,116,181,218
Blue Burst,4008-10B,https://www.valspar.com/en/colors/browse-colors/lowes/blue/blue-burst-4008-10b,valspar,#0192cc,1,146,204
Blue Bottle,V103-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/blue-bottle-v103-1,valspar,#dbe7e6,219,231,230
Nautical,5007-9C,https://www.valspar.com/en/colors/browse-colors/lowes/teal/nautical-5007-9c,valspar,#6ec9c2,110,201,194
My Skiff,V104-4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/teal/my-skiff-v104-4,valspar,#5993a3,89,147,163
Indigo Cloth,4009-7,https://www.valspar.com/en/colors/browse-colors/lowes/blue/indigo-cloth-4009-7,valspar,#1f4c68,31,76,104
Zydeco,V036-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/zydeco-v036-3,valspar,#2b63a0,43,99,160
Northern Sky Blue,4008-5B,https://www.valspar.com/en/colors/browse-colors/lowes/blue/northern-sky-blue-4008-5b,valspar,#a3c2d0,163,194,208
Grasshopper Pie,V062-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/grasshopper-pie-v062-1,valspar,#c8e1c8,200,225,200
Arctic Sunrise,8003-41C,https://www.valspar.com/en/colors/browse-colors/lowes/blue/arctic-sunrise-8003-41c,valspar,#94b8c7,148,184,199
Bavarian Hops,V060-4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/bavarian-hops-v060-4,valspar,#9fb683,159,182,131
Lime Fizz,V023-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/lime-fizz-v023-1,valspar,#d0e7be,208,231,190
Exotic Sea,5004-10B,https://www.valspar.com/en/colors/browse-colors/lowes/teal/exotic-sea-5004-10b,valspar,#01a2ad,1,162,173
Icy Mint,6001-7A,https://www.valspar.com/en/colors/browse-colors/lowes/green/icy-mint-6001-7a,valspar,#cde6d7,205,230,215
