name,code,link,source,color_hex,color_r,color_g,color_b
Engagement,1277,https://www.benjaminmoore.com/en-us/paint-colors/color/1277/engagement,benjaminmoore,#e4b2b5,228,178,181
Hummingbird,1271,https://www.benjaminmoore.com/en-us/paint-colors/color/1271/hummingbird,benjaminmoore,#d89fa8,216,159,168
Toasted Mauve,1279,https://www.benjaminmoore.com/en-us/paint-colors/color/1279/toasted-mauve,benjaminmoore,#c7868c,199,134,140
Burgundy Rose,1280,https://www.benjaminmoore.com/en-us/paint-colors/color/1280/burgundy-rose,benjaminmoore,#b17376,177,115,118
Pottery Red,2085-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2085-20/pottery-red,benjaminmoore,#853f44,133,63,68
Parisian Red®,CSP-1170,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1170/parisian-red,benjaminmoore,#773935,119,57,53
Silky Smooth,1373,https://www.benjaminmoore.com/en-us/paint-colors/color/1373/silky-smooth,benjaminmoore,#eee2de,238,226,222
Pink Attraction,1255,https://www.benjaminmoore.com/en-us/paint-colors/color/1255/pink-attraction,benjaminmoore,#d8b4b5,216,180,181
Palermo Rose,1278,https://www.benjaminmoore.com/en-us/paint-colors/color/1278/palermo-rose,benjaminmoore,#d29a9c,210,154,156
Bricktone Red,2005-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-30/bricktone-red,benjaminmoore,#9c5251,156,82,81
Tawny Port,1281,https://www.benjaminmoore.com/en-us/paint-colors/color/1281/tawny-port,benjaminmoore,#905455,144,84,85
Hot Apple Spice,2005-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-20/hot-apple-spice,benjaminmoore,#8a453e,138,69,62
Red Rock,2005-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-10/red-rock,benjaminmoore,#7c3e32,124,62,50
Cotton Candy,1268,https://www.benjaminmoore.com/en-us/paint-colors/color/1268/cotton-candy,benjaminmoore,#f6dfe0,246,223,224
Unspoken Love,1269,https://www.benjaminmoore.com/en-us/paint-colors/color/1269/unspoken-love,benjaminmoore,#f2cccf,242,204,207
Pink Eraser,2005-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-50/pink-eraser,benjaminmoore,#e1adb3,225,173,179
Genuine Pink,2005-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2005-40/genuine-pink,benjaminmoore,#c78086,199,128,134
Cinnabar,CSP-1165,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1165/cinnabar,benjaminmoore,#944544,148,69,68
