,name,code,source,color_hex,color_r,color_g,color_b
190,Exotic Pink,2003-60,benjaminmoore,#fecdd6,254,205,214
191,Coral Pink,2003-50,benjaminmoore,#f9abba,249,171,186
192,True Pink,2003-40,benjaminmoore,#ed7e8e,237,126,142
193,Red Tulip,2000-30,benjaminmoore,#e04c5b,224,76,91
194,Spring Tulips,2001-30,benjaminmoore,#e14b5a,225,75,90
195,Ruby Red,2001-10,benjaminmoore,#ca2c2c,202,44,44
196,Pink Cadillac,2002-70,benjaminmoore,#fde7e8,253,231,232
197,Sweet 16 Pink,2002-60,benjaminmoore,#ffd3d8,255,211,216
198,Romance,1333,benjaminmoore,#f5b1bb,245,177,187
199,Pretty in Pink,1334,benjaminmoore,#ef949d,239,148,157
200,Potpourri,1312,benjaminmoore,#e7838d,231,131,141
201,Berry Wine,2003-30,benjaminmoore,#d44c57,212,76,87
202,Bonfire,2001-20,benjaminmoore,#d5393f,213,57,63
203,Angel Pink,2007-70,benjaminmoore,#fce1e3,252,225,227
204,Pastel Pink,2007-60,benjaminmoore,#facbd0,250,203,208
205,Sweet 16,1310,benjaminmoore,#f9c6cc,249,198,204
206,Supple Pink,2007-50,benjaminmoore,#f2aab3,242,170,179
207,Secret Garden,1284,benjaminmoore,#df979c,223,151,156
208,Holly Berry,1321,benjaminmoore,#c24c4d,194,76,77
209,Hot Tamale,CSP-1155,benjaminmoore,#a93434,169,52,52
210,Powder Blush,1338,benjaminmoore,#f6d6d6,246,214,214
211,Bed of Roses,1318,benjaminmoore,#f6c1c6,246,193,198
212,Hearts Delight,1283,benjaminmoore,#e9b2b4,233,178,180
213,Heartbeat,1319,benjaminmoore,#ee989e,238,152,158
214,Coral Essence,2007-40,benjaminmoore,#de7c83,222,124,131
215,Embroidered Flower,CSP-1190,benjaminmoore,#b44d51,180,77,81
216,,,benjaminmoore,#b14040,177,64,64
217,Pink Fairy,2006-70,benjaminmoore,#fae0e0,250,224,224
218,Cat's Meow,1332,benjaminmoore,#f9d0d1,249,208,209
219,Authentic Pink,2006-60,benjaminmoore,#f6c8ca,246,200,202
220,Pink Punch,2006-50,benjaminmoore,#eaa6a9,234,166,169
221,Cactus Flower,1335,benjaminmoore,#e86674,232,102,116
222,Tricycle Red,2000-20,benjaminmoore,#d33a41,211,58,65
223,Red,2000-10,benjaminmoore,#c92e2e,201,46,46
224,Yours Truly,1317,benjaminmoore,#f5dcd9,245,220,217
225,Ballet Slippers,1331,benjaminmoore,#f7d9d7,247,217,215
226,Tickled Pink,2002-50,benjaminmoore,#ffb3bd,255,179,189
227,Flamingo's Dream,2002-40,benjaminmoore,#f88791,248,135,145
228,Rose Quartz,2002-30,benjaminmoore,#e65458,230,84,88
229,Bull's Eye Red,2002-20,benjaminmoore,#d93e3c,217,62,60
230,Vermilion,2002-10,benjaminmoore,#cf312b,207,49,43
231,Rose Rococo,1275,benjaminmoore,#f4d7d5,244,215,213
232,Fantasy Pink,1290,benjaminmoore,#efc8c5,239,200,197
233,Sailor's Delight,1296,benjaminmoore,#f3bcba,243,188,186
234,Florida Pink,1320,benjaminmoore,#e76f75,231,111,117
235,Ryan Red,1314,benjaminmoore,#cb4746,203,71,70
236,Strawberry Red,2003-20,benjaminmoore,#c33d3d,195,61,61
237,Million Dollar Red,2003-10,benjaminmoore,#b5332c,181,51,44
238,Touch of Pink,2008-70,benjaminmoore,#fde8e6,253,232,230
239,Tippy Toes,1282,benjaminmoore,#f3d3d1,243,211,209
240,Pink Sea Shell,2009-60,benjaminmoore,#ffd4d3,255,212,211
241,Pink Buff,1285,benjaminmoore,#dd9091,221,144,145
242,Bubble Tea,CSP-1180,benjaminmoore,#c86361,200,99,97
243,Shy Cherry,2007-20,benjaminmoore,#ae4138,174,65,56
244,Deep Rose,2004-10,benjaminmoore,#a0372f,160,55,47
245,Powder Pink,2009-70,benjaminmoore,#fde7e4,253,231,228
246,Little Piggy,2008-60,benjaminmoore,#fed6d5,254,214,213
247,Delicate Rose,2008-50,benjaminmoore,#fbb9b9,251,185,185
248,Glamour Pink,2006-40,benjaminmoore,#d37878,211,120,120
249,Cinco de Mayo,1286,benjaminmoore,#c36b6e,195,107,110
250,Santa Fe Pottery,1287,benjaminmoore,#ab5f5e,171,95,94
251,Segovia Red,1288,benjaminmoore,#9b4b49,155,75,73
252,April Pink,2091-70,benjaminmoore,#f3dad5,243,218,213
253,Playful Pink,2093-60,benjaminmoore,#f2dad7,242,218,215
254,Camellia Pink,2093-50,benjaminmoore,#e5bebb,229,190,187
